City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,shingu,33.7333,135.9833,14.54,48,24,0.55,JP,1712010874
83,weisswasser,51.5167,14.6333,11.22,76,100,5.63,DE,1712010874
84,fremantle,-32.05,115.7667,15.1,67,0,7.72,AU,1712010763
85,blackmans bay,-43.0167,147.3167,15.41,95,100,2.17,AU,1712010875
86,hawaiian paradise park,19.5933,-154.9731,26.6,77,100,3.6,US,1712010875
87,sinabang,2.4803,96.3801,27.03,80,97,0.85,ID,1712010875
88,broken hill,-31.95,141.4333,14.8,66,0,7.55,AU,1712010590
89,george town,5.4112,100.3354,28.3,89,20,1.03,MY,1712010851
90,anadyr,64.75,177.4833,-16.72,70,40,4.0,RU,1712010876
91,christchurch,-43.5333,172.6333,15.51,74,100,1.54,NZ,1712010567
92,thompson,55.7435,-97.8558,1.09,40,75,4.12,CA,1712010767
93,along,28.1667,94.7667,17.92,95,100,1.26,IN,1712010877
94,kenai,60.5544,-151.2583,3.05,82,75,5.66,US,1712010877
95,qaqortoq,60.7167,-46.0333,-6.01,81,13,1.78,GL,1712010877
96,melfort,52.8667,-104.6177,7.07,61,82,4.12,CA,1712010877
97,tual,-5.6667,132.75,28.28,77,100,2.06,ID,1712010878
98,rawson,-43.3002,-65.1023,16.31,31,1,3.39,AR,1712010878
99,st. john's,47.5649,-52.7093,1.55,95,100,3.6,CA,1712010604
100,tamanrasset,22.785,5.5228,22.95,10,0,2.57,DZ,1712010878
101,constantia,44.1833,28.65,15.39,72,32,4.39,RO,1712010878
102,novyy urengoy,66.0833,76.6333,-12.41,98,94,2.42,RU,1712010879
103,tolanaro,-25.0319,46.9987,22.67,83,100,6.82,MG,1712010879
104,kodiak,57.79,-152.4072,0.73,55,40,8.75,US,1712010879
105,port alfred,-33.5906,26.891,18.69,93,96,6.85,ZA,1712010880
106,kapuskasing,49.4169,-82.4331,2.0,48,75,1.54,CA,1712010880
107,kone,-21.0595,164.8658,28.05,57,15,2.01,NC,1712010880
108,hovd,48.0056,91.6419,-0.52,49,58,0.52,MN,1712010880
109,makouda,36.7857,4.0627,9.61,85,44,2.51,DZ,1712010880
110,altamira,-3.2033,-52.2064,24.93,96,100,1.03,BR,1712010881
111,atafu village,-8.5421,-172.5159,30.05,71,8,5.44,TK,1712010881
112,formosa do rio preto,-11.0483,-45.1931,26.09,64,100,1.14,BR,1712010881
113,aasiaat,68.7098,-52.8699,-6.43,85,63,2.09,GL,1712010881
114,college,64.8569,-147.8028,4.89,36,40,3.09,US,1712010882
115,sen monorom,12.45,107.2,20.54,92,6,1.72,KH,1712010882
116,langzhong,31.5504,105.9938,17.83,82,100,1.17,CN,1712010882
117,hermanus,-34.4187,19.2345,16.0,87,84,5.73,ZA,1712010882
118,camargo,27.6667,-105.1667,24.64,11,0,14.84,MX,1712010882
119,jamestown,42.097,-79.2353,13.07,54,0,4.63,US,1712010624
120,mossel bay,-34.1831,22.146,15.96,70,6,5.6,ZA,1712010883
121,duekoue,6.7472,-7.3496,24.18,96,75,1.48,CI,1712010883
122,shilka,51.85,116.0333,-2.28,85,100,5.69,RU,1712010797
123,lebu,-37.6167,-73.65,11.83,79,83,2.83,CL,1712010884
124,jose maria morelos,23.3952,-103.8984,20.95,34,1,14.11,MX,1712010884
125,dezhou,37.4486,116.2925,8.75,47,100,4.91,CN,1712010884
